_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
33418788618313182,66837563803594880,56.696369480991095,24.92892958619569,520.1773715845098,-1157.434442140667,18.573349,19.320286,17.775904,True,True,True,True,False,False,True,True,True,True,False,False,False
72355622838789655,144711230753602048,68.90073185475295,21.250996459036724,860.7161416146595,-959.2079100887464,19.120424,21.595911,17.604784,True,True,True,True,False,False,True,True,True,True,False,False,False
154988692038087756,309977380415042432,17.34632105438131,29.82564749247516,1011.2685367485816,368.2271303909495,17.565262,20.652775,16.020535,True,True,True,True,False,True,True,True,True,True,False,False,False
279061151160369797,558122277038055808,83.29890115430591,82.77182612147968,2038.7941275555197,-1662.957623868994,,,18.49547,True,True,True,True,False,False,True,True,True,True,False,False,False
388697523101153484,777395029106166272,165.5724057653441,41.21475183199036,-102.23386874488456,-1754.836078308393,18.742693,19.515816,17.873062,True,True,True,True,False,False,True,True,True,True,False,False,False
465411006967832544,930822015518055808,127.52714090400372,48.47642773218372,-1016.5645274560766,-774.9716240834562,20.710526,21.585167,19.04894,True,True,True,True,False,False,True,True,True,True,False,False,False
523594013925659505,1047188004010109440,155.69404379107607,58.426001218083066,-810.1479268676051,-736.8254533705203,18.264547,21.144558,16.714872,True,True,True,True,False,False,True,True,True,True,False,False,False
532489294899333105,1064978578888570496,145.374121043978,65.19209698102347,869.3213522030328,-793.7435187767327,18.43831,19.071733,17.705397,True,True,True,True,False,False,True,True,True,True,False,False,False
591287379959583985,1182574753387703680,226.7214820355615,13.351625200859788,-1071.0732611087783,-11.799813852140696,18.361835,21.648754,16.800066,True,True,True,True,False,True,True,True,True,True,False,False,True
618865026749898819,1237730036208674048,219.86144069695555,19.4894642004444,-1241.0009447716195,385.1245640388152,17.517,21.173414,15.947535,True,True,True,True,False,True,True,True,True,True,False,False,False
666205381938679607,1332410734823626240,246.5759791373292,39.42313562401976,-1374.7548151954534,237.4165895289675,18.347878,21.354973,16.796625,True,True,True,True,False,False,True,True,True,True,False,False,False
667080146005738152,1334160263982413696,260.2552209934248,33.74066401552556,-1855.538300503235,591.0316505651488,18.524582,20.94414,16.913797,True,True,True,True,False,False,True,True,True,True,False,False,False
794625047801153335,1589250088362827776,228.7472256453729,48.8013123316322,-938.0438885103148,1464.629577793265,19.241777,21.351543,17.604332,True,True,True,True,False,False,True,True,True,True,False,False,False
847595661249829565,1695191332232990720,226.70263614661923,70.46161913358111,-1194.1792240272916,1042.1942136101118,20.199528,21.771992,18.33195,True,True,True,True,False,False,True,True,True,True,False,False,False
997337718017354876,1994675416061276288,358.5379136253943,55.31394231885776,1093.6724192580486,-747.4714216115256,17.727308,20.925146,16.17433,True,True,True,True,False,False,True,True,True,True,False,False,False
1090307721754422207,2180615442346294912,309.0953499674945,51.00686279194055,749.2815685946429,1250.6470938651998,16.84937,19.062902,15.495623,True,True,True,True,False,False,True,True,True,True,False,False,False
1135678654133498180,2271357312343219456,310.1206777013713,69.99259323842053,1558.221480040751,1697.6586954672823,17.529474,20.945486,16.022087,True,True,True,True,False,False,True,True,True,True,False,False,False
1141806263107329672,2283612503305198208,321.7606300114952,76.29903870996756,756.4143319575837,822.462559574584,19.926235,21.45336,18.204111,True,True,True,True,False,False,True,True,True,True,False,False,False
1214642720173943441,2429285424478485504,3.71127711783235,-8.640187267521732,1476.5836037174208,-258.1953270053216,18.09789,20.780687,16.619465,True,True,True,True,False,True,True,True,True,True,False,False,True
1286450513388042213,2572901021957789568,24.24124978791965,9.563070454755836,1238.2439374026385,-16.155571796869925,19.461197,21.107285,17.640982,True,True,True,True,False,True,True,True,True,True,False,False,True
1317738462047657116,2635476908753563008,346.6265216276444,-5.043528319429532,930.787522581778,-479.0375409528857,15.622554,19.005802,14.103951,True,True,True,True,False,True,True,True,True,True,False,False,True
1700926062038703167,3401852112636610432,79.98844565762452,20.1772918867998,457.4807627779117,-895.8964071647928,17.902142,19.202044,16.7883,True,True,True,True,False,False,True,True,True,True,True,False,False
1762891015004535137,3525782019572116992,194.05499964697557,-14.148967450748808,-739.1909833009415,-991.5729640011032,17.53986,20.199066,16.112083,True,True,True,True,False,True,True,True,True,True,True,False,True
1819280488241997640,3638560954457699200,202.95199301461489,-1.2854940328049085,-414.2091781893967,-1041.2782545573707,20.534954,21.39854,18.914696,True,True,True,True,False,True,True,True,True,True,True,True,True
1849489717977963240,3698979462002285824,180.98680696477484,0.2626631473947131,-1219.590296166469,-282.1176840106884,19.133556,20.761082,17.564669,True,True,True,True,False,True,True,True,True,True,True,True,True
1876540066743735150,3753081236588280192,153.2809230226274,-13.943815990899072,68.31356501323555,-1029.7540224269712,17.940165,20.410042,16.54757,True,True,True,True,False,True,True,True,True,True,True,False,True
1948178546855350528,3896357089270247168,179.58893132321765,4.57989695872048,570.3957365092363,-923.1941218928744,20.678568,21.712635,19.082453,True,True,True,True,False,True,True,True,True,True,True,True,True
1970671108573442425,3941342198772052352,195.1733011980172,19.204062197982527,-810.8677296589751,-1248.4301868501025,17.465528,20.875265,15.881724,True,True,True,True,False,True,True,True,True,True,True,False,False
2101937875754622567,4203875751318123904,284.03722733971875,-8.382360445718527,-83.11558450669659,-1094.5421567782307,18.282001,21.129915,16.707493,True,True,True,True,False,False,True,True,True,True,False,False,True
2118948706918730706,4237897389785413504,295.4692458167654,-2.150770013043379,-288.0150634193812,-1052.0871525682142,18.036356,20.468515,16.637508,True,True,True,True,False,True,True,True,True,True,False,False,True
2135724703654050855,4271449399415019904,275.2359400508666,-1.0535607111655672,-528.7143839698111,-973.711263528687,12.295122,,,True,True,True,True,False,False,True,True,True,True,False,False,True
